seen,username,id,time,location,votes,star,comment
1,GIVIND,givindream,2022-10-27 14:30:39,山东,6,40,完整了追番的意犹未尽——哎，总感觉年纪大了看纸片人得有意无意的避人耳目，让这本该欢乐的津津有味变得不那么纯粹……哎，还是怪自己不够洒脱吧。。
1,颜落寒,yanluohan,2022-10-26 10:53:14,江苏,0,30,就，风太郎不愧是你，各种意义上的……
1,陈帅多,189820200,2022-05-22 15:31:38,,53,50,四叶真的是个好姑娘啊！在党争题材里面五等分可能不是最好的，或者是热度最高的，但一定是难得的很完整的作品。像五等分这样剧情从头到尾没崩坏，结尾也结束得漂亮的作品真的不多了。可能大家各自有自己支持的角色，但对风哥来说，这就是最好的选择了。作为观众站在旁观者的立场心服口服。
1,Austin3:16,166133927,2022-09-17 21:43:57,重庆,11,50,这么好的画风和剧情虽然连载时间很短，但正是因为这样才精彩令人很怀念。反观某租借，明明可以是个媲美五等分的漫画，拥有不逊色的画风，结果剧情又臭又长还塑造比上杉更令人讨厌百倍的男主
1,炼狱天使,204861629,2022-10-29 02:13:22,天津,4,50,很好的结局，就是最后选择度蜜月的地点时候，风太郎吓我一跳，还好不是梦。无论选择哪一个对于其他人来说都是遗憾，一花五月都最先选择了退出，一花放手的爱，五月埋藏心底的爱，二乃勇敢的爱，三玖温柔的爱，都是意难平啊，但是四叶值得！！！
1,soloist,143270095,2022-10-27 00:44:36,浙江,5,50,如果说要挑一部最优秀的动漫可能很难，但如果是党争类，五等分就是傲视群雄唯一的T0级
1,raku,quarkocean,2022-10-26 22:25:59,上海,1,40,唯一神永不塌房（确信
1,三玖,257113190,2022-05-20 00:40:41,,18,50,就是想看
1,WilliamOsborne,157548945,2022-10-27 22:28:38,山西,4,40,入宅之作，五位美女声优功不可没。从五等分之后开始狂看党争、后宫番，当然随着番剧越补越多，这种类型还有异世界类型要看吐了😅还是长篇热血番最王道。最后，平稳落地，完结撒花！
1,姚姚姚咬咬牙,182683234,2022-11-13 02:02:42,北京,1,50,单从动画制作的角度上来说，我个人认为中规中矩。剧情结构倒是有点意思，五个人五条线来五回，完全可以出一部gal。虽说早就知道正宫是谁了，但我依旧单推三玖！我的青春啊！又完结了一部啊！
1,匣中猫,Psalmoi_Jidai,2022-10-29 17:51:47,中国澳门,2,30,受篇幅限制，感覺很多原作內容都沒有展開，而也是受篇幅（太長）限制，作畫崩壞幾乎出現在90%的場景裡。而在一個比較標準的後宮系戀愛喜劇作品/劇場版動畫裡，作畫崩壞頻頻出現其實蠻致命的，而結尾表現雖然不錯（甚至有種是不是把所有的經費都用在結尾上的感覺），劇本上的皇帝翻牌硬傷卻沒有很大改良，看到在婚禮現場還不甘的敗犬哭泣有種替您尷尬的感覺……不過總體上還算是合格的東西。
1,甜瓜骑士团,199888905,2022-11-01 23:45:22,江苏,3,50,青春啊~
1,ZOE,161086042,2022-10-30 16:56:17,天津,1,50,我去！我去！我去！最后居然选的是……我又相信爱情了，关键是男主上杉真的很靠谱，五个女主一个男主，最后能顺利地1v1，果然纯爱就是最顶的！
1,Rabbitの胡萝卜,dbdbai1001,2022-11-13 16:31:40,四川,0,50,好看极了啊，好看极了，怎么会想到会有这种发展呢，以为90分钟结尾极限了，但是就是好看，感受到快乐，可能是偏爱吧，但好看啊，又让我向往纯纯的爱情啊，现实什么的还是不要了啊！可惜我嗑的不是四叶，我希望她成为败犬啊！三玖天下第一，明明是我的靠，风太郎真的亲麻了，五月赢才觉得最合适嘛。
1,ASamoa,74162489,2022-06-22 01:27:37,,17,30,宅男的白日梦
1,冬天不端奶茶杯,238152725,2022-08-27 19:03:22,海南,2,50,五等分的新娘 少给一颗星都对不起这部剧 真的好看极了
1,飞天小懒猫,167389333,2022-11-06 19:10:07,广东,0,40,五等分也算是少有的低开高走类型，毕竟第一季那时候的崩坏画风还历历在目，前期普通但后期能跳脱出俗套，不选择大众最高人气角色也能把角色塑造得很好，收尾不算精美但气氛渲染到位了，不奢求你有辉夜动画组那般的厨力和财力，不用做的轰轰烈烈，胜在一个走心就足够了
1,あげは  しかわ,river_kun,2022-11-06 00:02:16,日本,1,50,老实说这个制作对于剧场版还是差了一些，不过没办还是好喜欢这个故事呀。后宫作品能做出正常的感情线还是蛮少见的啦，而且有的线还蛮感人哭瞎的。所以五等分目前来看就是后宫番里的第一啦。现在变得最喜欢四叶了，可能也是因为人设上最让人心疼吧hhhhh 4&gt;2&gt;5&gt;3&gt;1~！另外没有切蛋糕的婚礼我是不认可的哦，这一点差评哇~！
1,Xie3 Project,53628802,2022-10-22 13:26:20,上海,6,40,反复回响的配乐带领观众领略学园祭每一个角落里每一份珍贵的心情，多重视角的拼图式叙事拭去了TV版的埃尘，唤醒了原作里那份仿佛时间镀了金般的光泽。为什么是两个半小时的电影而不是五集连续剧？因为这是一生一次永不再来的体验，我们没有按下暂停键的奢侈权力。
1,七黛.,linako,2022-11-01 21:39:24,广东,0,50,对我而言堪称完美的剧场版，虽然多处都略仓促，但能改编成这种质量真是太感谢了……QAQ 一直忍着落泪的冲动，实在是太圆满美好的故事，比当时追漫画的触动要深切许多许多……我永远喜欢五等分！！！QAQ
1,好恶,hookini,2022-11-02 17:23:54,江西,0,30,取名字叫“四叶”去哪都有人爱，教室逃跑那一段让我想起了龙与虎。
1,ImpressJiang,jnlovexx,2022-11-01 06:03:17,福建,0,50,三玖第一，可怜的五月……
1,DRYJIAYOU,89480639,2022-10-27 23:25:28,北京,2,40,这个贫穷的作画，真的是剧场版吗？两个小时的时间还是有点太紧张了，学园祭部分线索还是显得凌乱。三玖老婆天下第一！
1,Soxtlas,133935189,2022-10-26 22:47:56,江苏,0,50,只能说 可惜不是五月.
1,含泪的微笑丶,137606954,2022-05-29 19:27:16,,8,40,只是简单了解原作就去看的，感觉就是标准的动漫内容加长版后续，不过这种非后宫向而是纯党政向的动漫作品，这部动漫的知名性还是很高的。（一花党）
1,黄昏际,218458565,2022-11-11 07:41:17,江苏,0,40,圆满结束
1,wuqiongjin,205557006,2022-10-31 02:27:52,山东,0,50,虽然已经提前知道了结果了，但丝毫没有影响整个电影的观感。从第一季追到完结，看着五姐妹逐渐变得更加成熟，互相体谅。我已经很欣慰了，不管最终选谁我其实都能接受的，每一个人都是天使。这个番我觉得应该是党争题材的，但是又不完全是党争，看到大家互相成全对方的时候，就已经和普通的党争不同了。电影整体的节奏把握其实一般，我觉得它还是更适合做成番剧的，中间五姐妹反复切换，一定程度的降低了观感。不过结尾还是很棒的，五年后的婚礼也非常甜，有婚礼出现的番还是不多的。总而言之，爷的青春又完结啦~
1,FireSheep,Lethe.Lee,2022-10-30 00:31:59,美国,0,50,勉强5星一下
1,平塔岛象龟,158812377,2022-10-26 02:00:55,内蒙古,2,30,说实话可能是年龄大的缘故，真心不想看党争类型的故事，因为最后肯定会有人伤心，所以有时候在想为什么故事中的人物不可以所有人都能he呢而且关于女主父亲渣男设定胃疼到炸，女主妈那么好的一个人居然被自己老师上了，结果最后有了孩子提裤子跑路，什么鬼人设，还不如直接写成男主父亲因为意外离世更好。。
1,雪之下雪乃,161362907,2022-10-26 22:24:02,广东,0,30,其实没什么故事。就是一个选择。算是一种完结了吧。
1,清倌挽风依旧,superbigxigua,2022-11-17 02:44:08,湖南,0,50,梦结束了
1,麻子,143101784,2022-10-30 13:13:26,江苏,0,30,动画版的五姐妹恋爱物语。
1,天冷了绿豆,149967245,2022-05-20 18:20:15,,8,20,平庸
1,赤炎,cy2,2022-10-28 20:58:44,江苏,0,50,完结撒花！真亏能有一个明确的结局啊
1,Ishi.WB,53105584,2022-11-06 16:33:47,江苏,0,40,一切的因缘本就由四叶而起，也算有始有终了。
1,皇丛,184402602,2022-10-26 02:42:15,广东,0,40,作为恋爱后宫番这样的收尾算得上干净利落，情感铺垫伏笔串联都很不错，四叶在风太郎那赢了，但勇敢改变的三玖在我这边是永远的天下第一☝️
1,马尛尘hʰᶜ,wm111521,2022-10-27 14:34:39,新疆,0,50,剧场版很好
1,樱岛希岳,245037833,2022-10-27 00:13:53,山西,0,40,等了四个多月，终于有资源看完了。就当作是奖励给自己的生日礼物了。（小声说一句，我最喜欢二乃。）
1,汇慧,165039062,2022-11-02 19:17:46,广东,0,,看不进去…
1,亲爱的猥琐猪,schlampig,2022-10-28 18:48:53,上海,0,20,到达五等分剧情最高潮，啊呀这是啥呀，崩得……兄弟们我们还是来等等看美丽的蓝光修正吧。
1,名可君听斯基,zzysd,2022-10-27 00:09:18,安徽,0,40,年纪大了 看不得这个
1,......,Atomer117,2022-11-01 23:39:01,上海,0,50,非常完美的收官了
1,周宇勋,124623415,2022-10-27 13:39:16,吉林,5,10,虽然风太郎也许只是五姐妹关于「梦想」的具象化表现形式，但看到如此奇葩的「后宫番」设定还是不免不适。非不满于性转版「九子夺嫡」的狗血，只是接受不了她们争夺的是一个「男人」罢了！试想风太郎要是在封建社会当个地主，想必一花二乃三玖四叶五月早就都成了一二三四五姨太太了。摇摆不定何书桓，欲拒还迎风太郎，一个德行。。
1,Fan2000,189408929,2022-10-28 21:53:39,河南,0,40,一个圆满的句号，我也最爱四叶。
1,春道,179511310,2022-10-28 21:57:56,广东,0,20,选哪个都心疼，还不如开放式或者胆大点全部选了！ 我觉得一般的恋爱伪后宫作品的话，结局要不你不选，或者开放式，如果选了一个很多人都接受不了，热度直接没了，后来的人知道结局也不会看了。像当年的神知和伪恋是多么受欢迎，可惜的是因为结局直接没有热度，凉了！
1,❄️,197669797,2022-11-06 12:33:25,湖南,0,20,不是。。。怎么能8.7分啊。两颗星是可爱妹妹和配音的。
1,iokyk,191687971,2022-11-01 23:53:11,陕西,0,50,为了这点醋才包的这顿饺子
1,Ray,42346605,2022-10-30 00:28:49,北京,2,50,爱情不过是人类大脑里化学成分的反应，是人类为了繁衍这一本能而产生的一种阶段性的刺激手段。爱情让人开心快乐，也让人纠结痛苦，带来幸福，也带来不幸。爱情虽然不是人类的全部，但确是人生中相当重要的一部分。爱情带来的这些美好的感觉，也许只是虚幻，也许不久就会逝去，但爱情若能带来双方的成长，那也许是除了阶段性的感情波动外，最大的好处了吧。这番最大的优点，就是除了男主，五位女主都在原本已经足够可爱的基础上，进一步羽化成长，成为更加优秀的人。也许她们一开始是为了男主或受男主影响，但内生的动力才是促使他们成长的根本，而且她们的成长，最终受益的将是她们自己，这份感情，才是最让人欣慰的。这部番相比其他后宫番，对女主的内心想法和成长有更多的着墨，相比之下，男主反而成了配角。这才是这部番如此优秀的原因吧。
1,箫亦与申白,186681119,2022-11-08 02:15:45,广东,0,30,我的三玖啊！竟然这么快结束了，前半段还不错，后半段没啥意思了。
1,つきおかあきこ,hidajiahao,2022-05-31 18:59:00,,4,50,作为一个没看过原作的动画党，看到剧场版正式将故事完结了还是很欣慰的。虽然仍然对中间一些剧情的展开和推进抱有一些疑问，但是看到最后的结尾各自向前迈进还是比较满意的。瑕不掩瑜，祝幸福.jpg
1,说好了不动情,205252701,2022-08-29 16:27:13,浙江,0,30,很好看很喜欢很有趣很精彩
1,本尊神灵,41842523,2022-10-27 11:19:43,广东,0,40,这样的剧情我连做梦都不敢想，电影里出现都觉得不可思异
1,立花北栀♤,136938976,2022-10-29 19:16:48,山东,0,50,完结给五星，算是比较平稳的结局，但近些年的很多大热漫画能有平稳结局已经上佳。五月我的意难平。
1,赛博朋克,id2002,2022-10-27 10:10:12,江苏,0,40,不怎么好看，但整体还是不错。
