seen,username,id,time,location,votes,star,comment
1,砒霜拌白糖,showbox,2022-11-04 23:21:57,黑龙江,149,40,看的时候脑海里都是现实中的镭事件，当时也死了100多名女性绘表师，她们透支自己的生命为了活下去，可残酷的是她们仅有的一切不过是资本微不足道的消耗品。现实是残酷的，很多女工因为镭元素的放射性而染病直至悲惨死去，也有人因此不断抗争。不公的存在，抗争总是必要的，也不要因为势单力薄无能为力就选择袖手旁观，星星之火，可以燎原。这个电影非常适合当代的小女孩作为童年迪士尼公主电影去观看。公主可以自立，公主可以自强，公主可以因为喜欢去恋爱，但公主绝不因为恋爱就放弃自我与理想。还有想看福尔摩斯和华生那些人你们好像不是没有自己的电影和ip吧，福尔摩斯小姐就是福尔摩斯小姐，不想看就右上角，有本事就呼吁网飞给你拍新的，不用把什么都变成自己想要的，谢谢！
1,不留痕迹,tonyzhang0102,2022-11-05 18:58:40,湖南,163,30,比第一集好一些，至少推理的过程是完整的，女工那块的女性觉醒也嫁接的不错。但真的受够了好莱坞为了女权、种族这些议题硬生生把属于白男的角色给改了，我们为啥会需要一个女性莫里亚蒂和黑人华生呢，你们就不能有点创作力给他们写点更适合他们的角色？
1,大罗,Gu_li,2022-11-04 21:43:43,江苏,113,40,不仅福尔摩斯是女性，连莫里亚蒂也是女性：女权系电影崛起，致敬独立自我的女性们！
1,MOMO,179801046,2022-11-04 19:05:09,湖北,63,40,其实我还挺爱这种复古手帐风（？）的画风哈哈哈哈哈哈（看着挺快乐），能不能继续拍下一部
1,颜落寒,yanluohan,2022-11-04 21:17:30,江苏,78,30,这是我见过最邪恶的一届苏格兰场（卢平教授负全责）。至少推理部分比第一部好很多，福尔摩斯家的女士们都好能打，兄妹俩的互动也很有意思～
1,忘我洗澡,runqueen,2022-11-06 22:28:48,广东,23,40,剧情逻辑很棒，女工团结一致斗倒邪恶资本家也喜闻乐见。我说这是史上最帅夏洛克福尔摩斯应该没人有意见吧，喜欢死兄妹的互动了。结尾登场的除了莫里亚蒂还有华生！说不上好，却十分轻松治愈。期待下一部。
1,蚂蚁没问题,rachel-rachel,2022-11-05 14:15:18,河北,28,40,比第一部好看了许多，推理不那么应付事儿，有点福尔摩斯原著的味道了，情书谜题、曲谱谜题、舞会暗藏玄机，很精彩。还提到了独立不代表不可以寻求帮助、结交盟友，是我喜欢的金玉良言，子爵多萌啊，不要不理子爵嘛。最后不是靠推理解决了所有问题，或许是悬疑电影的缺点，但却是女权电影的必然选择。内谁和内谁都登场了，再拍下一部应该更有意思。PS，解决了我看上一部时候的疑惑，三兄妹看来是同一个妈。
1,坐等1900,wsqabc,2022-11-05 18:15:38,澳大利亚,69,30,案子其实不无聊 而且netflix实在太重视diversity了 一个维多利亚时期的英国故事 主要角色集齐了黑人白人亚洲人印度人 这是有多怕观众投诉种族歧视才能搞出来的大杂烩 只是能别硬扯福尔摩斯一家吗 夏洛克就算有妹妹也绝对不会是喜欢说教的哥哥 编剧老跟他过不去干什么
1,柯里昂,pirealwei,2022-11-04 17:45:32,湖北,41,20,无趣是原罪，拍成子供向还要硬塞各种议题，以及加什么动作戏，编导想告诉大家是猎魔人粉丝还是怪奇粉丝……
1,奥敦,ASH0001,2022-11-04 22:24:31,江苏,50,30,【C】比第一部更注重侦探与推理，夏洛克的戏份也更多，但故事依旧没意思，强硬的社会与性别议题（刻意塑造一个略显中年颓废孤寂、办案处于瓶颈期的夏洛克来反衬艾诺拉的形象；女性版的莫里亚蒂在结尾前只出场了几分钟，解密全靠口述；最后女职工们的觉醒罢工没有合适的大环境铺垫，输出全靠嘴炮；从头到尾对于腐败、压榨女工的探讨完全架构于儿戏般的正反交锋上，没能有更深刻的触及。不是把所有角色都改成女性就是女权，网飞这是吃准了政治正确的红利，真正的女权不会只喊着口号做着表面功夫，而很多人却都已被这种伪女权产品拿捏住了），无趣的悬念一直拖到了结尾，动作戏更是没眼看。既然结尾华生都来了，下一部就换亨利·卡维尔当主角吧，别拍什么小姐了。
