seen,username,id,time,location,votes,star,comment
1,六一的仙女姐姐,146994499,2022-09-02 06:42:36,意大利,274,50,看的首映没有英文字幕 所以看的不太明白。但是！凯特在现场陪我一起看的！！！我必须打五星！！
1,Joker Lee,137173445,2022-09-02 08:09:36,意大利,51,50,色调冷静，交响乐的魅力，凯特好帅！这辈子能和凯特一起看电影也是无憾了。
1,荆棘,AlohA0407,2022-10-04 02:18:22,美国,12,50,作为伪传记电影，满分。大魔王让我感觉Lydia Tar活在她的身体里。
1,∞,174067570,2022-09-02 17:26:20,法国,21,10,没有《塔尔》，只有布兰切特。前脚“音乐”牵着演技牛逼爪巴，后脚腹泻式流水账，干脆套个戏中戏，改名《布兰切特》“传记片”（实际上已经是了）。
1,gia,gianostalgia,2022-10-30 12:52:09,美国,10,50,凯特大魔王即将推出个人原声大碟«apartment for sale»
1,D,49949655,2022-10-07 14:15:41,美国,24,20,如果主角是个直男能看吐 这种似乎要探讨性别但本质上还是一个权利关系处于上位者的精英视角的剧本存在的意义是什么 又被预告骗了 以为是个关于音乐与肢体的高概念心理惊悚 采访那段谈到音乐与时间 一度欣喜 冷静的置景服装调色和交响乐 上层阶级的一切干净锃亮的让人害怕 和酒精计划一样看得我难受 不是看他们难受 而是看这种电影的诞生难受虽然极美但是 极简清水混凝土房间里真的可以弹钢琴吗
1,Planet_,57793268,2022-09-03 05:56:42,德国,51,40,#venezia79 全场观众鼓掌鼓到手肿（不是）结果从头到尾话筒都没有递给到导演和凯特本人。Tár 这个角色，为凯特而写，也只有她能驾驭。电影用拍摄精英男性的镜头语言描绘一个处在权力金字塔尖的同性恋指挥家，讲述她如何滥用职权，又如何跌落神坛。有些德语台词的翻译有问题，不过不妨碍结局部分让人觉得是神来之笔。
1,渭尘_,155935307,2022-09-01 18:51:29,西班牙,26,30,一身黑色套装，措辞引经据典，永远不苟言笑，在乐团和社交圈中享有绝对的话语权，人人见了都要尊称一声“Maestro”，塔尔看上去似乎无懈可击，她也以控制欲和洁癖精确地建构起与他人相处的边界。然而，随着一个学小提琴的年轻女孩进入乐团，表面的“完美”逐渐垮塌，社交媒体的攻击和家人的误解更是让她身心俱疲。遗憾的是，剧本在叙事节奏略为失衡，在刻画塔尔对于音乐的执念、她个人的感情生活以及由她的强势带来的问题上缺乏更为清晰的交代。凯特·布兰切特依旧演活了这个角色身上的偏执，熟练在英语与德语间切换，在指挥乐团时的肢体表现相当专业。细腻的声音设计也是叙事的一大利器，不仅精准地还原了一个音乐家的耳朵中的世界和对各类声音的感知，剧院彩排与演奏似乎令观众真正置身现场。
1,一一,63163621,2022-10-06 21:18:03,美国,17,50,反思权力滥用与自我迷失，虚构一女指挥迅速从名声高处步步跌落至深渊，对应近年取消文化、Metoo运动等造成的深远影响，不同领域掌权者被纷纷打倒、握有权力者被拉下，露出真面目甚至痛批痛骂至彻底坍塌，而绝大部分都是位高职握重权的中老男。电影巧用指挥和演奏影射当权掌权者对权力的迷恋滥用和下层人的掌控压榨。最终因痴迷权力而自我失控，轻轻一推，就迅速堕落而永不翻身，是现如韦恩斯坦、艾尔斯等好莱坞前顶层的活该下场。女指挥家即现实中不断自我膨胀的得权得势之人，被揭发、被曝光后一落千丈，形成强烈对比，过去有多无限风光、功成名就就有多折堕多丑陋，被权力、名声、成功、欲望反噬，而一切尽失。导演虽16年来未拍电影，但一出手就是醒世恒言，警惕世人，权欲是考验人性的永恒难题，而这类迷失者、滥用者一直都在，从不消失。
1,Q影誌,73561612,2022-09-01 06:53:06,德国,31,30,#venezia79 3.5 女版《杰出公民》。非常好同时也非常精英的题材和主题，处处透着不成熟的笨拙，又在你宽容心耗尽时灵光一现表明这其实还是一个可以鼓励的nice try。虽然大女主，但这不是女性主义电影，更多是借助同性对艺术与道德、艺术家的评价标准的讨论，迂回曲折的叙述了很久后结尾终于直截了当的说出观点，最后一场戏的设计畅快人心。从影像风格和语言组织来看，导演有精英主义嫌疑，不过我也不介意适当的抨击一下愚昧大众。凯特大魔王近些年愈发Gary Oldman，部部飙戏，不同的是，她的表演总是一半角色一半凯特，同质化严重，也许这不是她的问题，而是我们对强势的女人依然持有刻板印象。本片最喜欢的表演是开场访谈，最糟糕的是指挥戏，不过舞台上那惊世一摔真的帅气！
