seen,username,id,time,location,votes,star,comment
1,神神叨叨二百五,herrysummer,2022-06-14 14:01:19,,2,30,前面太水了。
1,颜落寒,yanluohan,2022-06-07 15:53:15,,8,40,“想成为能够爱人，也可以被爱的人。”即使不被世界需要，也想被某人需要。
1,懒羊羊,170130232,2022-06-04 23:10:53,,10,50,改编自漫画90-93话。正片开始于第32分钟。前面与其说是总集篇，不如说是第三季经（gou）典（liang）场面合集放送。不过就算这样，新版精良的画面再加上在横山克的音乐加持下，真的很容易被再次打动。爸爸妈妈的故事更是非常感动，尤其是妈妈从不被家人理解的不良到让人羡慕的好妈妈的转变，以及这满满的狗粮。酸了！最后还要一点透和夹接着TV版的后续（狗粮）
1,碧花生,Bsmgys,2022-10-03 19:58:59,山东,1,50,「もしもこの胸に 隠してた弱さを 君を守れる様な 強さに 変える魔法が あると知ってるなら それはそうさ君の Eyes and smile and love」
1,羊咩咩地叫,70569522,2022-07-06 23:04:17,,3,40,前面的tv总集大可不必… 应该先看下评论直接从半小时后看的。失去如此重要的人是有多么心痛啊，今日子能恢复过来真是不可思议。
1,蓝色波丽露,urnotlauretta,2022-09-16 14:38:44,中国香港,0,40,真《父母爱情》（结尾的夹透甜到齁了
1,-_-||,243825889,2022-03-25 10:14:42,,9,20,低情商：这是《水果篮子》《排球少年》的编剧？高情商：这是《轻羽飞扬》《国王排名》的编剧。
1,Sherry在努力,255407581,2022-06-13 16:04:36,,4,40,开头水半集呢( ˘•ω•˘ )但是老师好会啊，把孩子当成一个人来看待，很多父母做不到吧，只是作为附属品。不得不说这部作品真的特别有人文气息。（虽然我也听不懂我在说什么）
1,ladbat,ladbat,2022-07-19 23:19:07,,0,40,总的来说还是很感动的一部作品
1,福星宝宝,199569040,2022-06-21 17:38:24,,2,50,胜也和今日子前一秒还在讨论添宝宝，第二天就分开了，啊啊啊，哭死
