seen,username,id,time,location,votes,star,comment
1,Zoey_,152619702,2022-11-04 22:40:26,吉林,56,40,私以为把她17—18年间发生的故事放出来会更好，但因为这部带有太多个人的心绪和隐秘私事了，所以尊重Selena的选择。即使经常性心情抑郁到想要痛哭想要流泪，即使我也确实浮现过几次想要kill myself的念头，在这95分钟的时间里我还是多次皱紧眉头，为Sel的崩溃和痛苦而无奈，可见过度共情、情绪不稳定、脆弱、抑郁、不自信会给自我和他人造成多大的消耗。但是朋友们，脆弱本来就不是需要被藏起来的事，脆弱也不是必须要被克服，只是我们需要去正视和直面她，我需要把我的脆弱摊开放在阳光底下去晾晒。太辛苦了就停下来休息，太难过就寻求他人的帮助，我很脆弱，我会崩溃，但我还在继续走，我这还不算英雄吗？
1,F6B,154198154,2022-11-04 19:54:26,瑞士,61,50,能理解她因为生理疾病和心理问题带来的痛苦 但这种明星纪录片真的都没什么意思 无非是见见粉丝 故地重游 插播歌曲 新闻剪辑 情绪崩溃（on camera）... 看完就像什么都没看一样
1,momo,179918554,2022-11-04 12:54:14,安徽,20,40,Selena可以给人所有感受，但永远让人感觉真实。这部纪录片本来也可以是一个celebrity thing但是她毫无保留的展示自己的脆弱，反省自己，最后也意识到自己想做什么，还成立了关于心理健康的组织，真的感动。有几段她脆弱的样子狠狠共情她想哭了🥲 或许这不是什么爽文但这是真实的人生，impressed
1,狗打墙,buddhajump,2022-11-05 10:53:49,四川,8,40,脸的痛苦我能relate，善良也能，但她说话确实没什么内涵啊，表达能力也超级一般，用词和排列方式都完全达不到做纪录片的效果吧，果然从七岁开始homeschool的结果就是这样吗？
1,生生鸟,125739150,2022-11-04 13:30:22,江苏,56,,近年出的明星纪录片感觉都是一个模子里出来的：一样的痛苦、一样的疲倦、一样的迷茫，情绪都是从流水线中生产下来的
1,性格像猴子的猪,53532061,2022-11-04 11:35:58,美国,50,30,哈哈原来不止我觉得艺人上访谈，被问到的有些问题很无语。你最喜欢的颜色，你不当歌手想干啥，这不是谷歌一下，看看以往采访你就知道吗。笑死，原来艺人也很讨厌也觉得是浪费时间。另外eye contact真的很重要哦~对纪录片整体无感，甚至觉得有点虚伪，傻脸娜你的好姐妹给了你一个肾你就简单的一笔带过，无情
1,🤍,257668800,2022-11-05 00:40:07,广东,42,50,不觉得热评说ts自恋是正确的，如果你了解sel你就知道她和ts是某种程度上的双生，你只喜欢一面辱骂另外一个，你就把自己投射到什么上面了。我说不好，sel很棒ts也是。
1,R,164881377,2022-11-04 17:50:43,中国香港,27,50,能把伦敦与好友争吵的片段放出来就足以表明她对这部纪录片的态度绝对不是随随便便炒冷饭忽悠粉丝。看完能让人知道 经历过什么，做了什么，不想做什么，想实现什么 就可以说这部是成功的了
1,四处游荡的Lily,33538142,2022-11-07 13:37:54,北京,3,40,我居然只是通过《公寓里的谋杀案》认识的她
1,悠悠游游的鱼,121607057,2022-11-05 14:08:26,广东,21,30,不是Selena的粉丝，却意外在这部纪录片里很relate她的情绪，所以给了三星。但这片整体拍的比较空洞，没有把躁郁症、抑郁症患者真正的痛苦展现出来，与病症抗争的过程也没交代清楚，感觉和家人多聊聊，多做慈善就自然自愈了。这种拍法只能赚点粉丝眼泪，却无法通过Selena的经历让更多人了解、理解这类精神类疾病，让更多羞于承认自己深陷折磨的病患坦然去寻求专业帮助，所以“我的思想和我”，这个片名的立意高度，就没法达到了。
1,五支玫瑰_,191114361,2022-11-05 21:53:19,吉林,11,30,印象最深的是肯尼亚的那个女孩，本来想着淹死在河里，最终提了一桶水离开的女孩。
