seen,username,id,time,location,votes,star,comment
1,桃桃林林,qijiuzhiyue,2022-06-23 13:25:28,,135,30,开场真是花哨，非常有导演的风格。华丽的美术与各种分屏和音乐轰炸。整体还是一部你可以想象得到的影片，就是有点长。相信猫王的魅力，但还是不太信他的饰演者的魅力。
1,雷克雅未克,gospursgo,2022-06-25 14:01:03,,128,40,现在想想Showbiz真是挺没人性的东西，观众偶尔过去看一场放松一下挺好，但是演出的人就不一样了，长期保持这种极度亢奋，曲终人散后又一下很落寞。大部分秀又是晚上，散场之后怎么可能睡得着。
1,_H,yangh,2022-06-25 18:54:57,,78,40,影片不仅给予了猫王一家足够的尊重，也给了黑人音乐和其影响力足够的尊重。结尾真实画面出现，当他满头大汗却依然拼尽全力唱出oh my love my darling时，毫不夸张地说身边的观众全都在抹眼泪。强烈推荐杜比音效厅。
1,同志亦凡人中文站,3540441,2022-06-25 19:55:13,,57,40,为舞台而生的传奇，也是时代的叛逆符号，然而在资本主义面前猫王也不过是金丝雀。巴兹·鲁赫曼太适合拍华丽歌舞片了，160分钟几乎全程hype的状态，就像经历了一场视听感官的轰炸。这种过度主义和猫王的闪亮风格还蛮搭的...
1,吃货F,141583526,2022-06-24 10:30:31,,59,40,看预告的时候，我觉得演猫王的男演员有点油，但是160分钟后我只想说，小哥把猫王那种孩子气与妖孽附体的魅惑很完整的表演出来，导演一定很爱这位演员和猫王，各种大特写来展现他的魅力。汤姆汉克斯的表演没的说，他在的几场戏表演都很精准，哪怕几层厚厚的化妆。电影本身，作为传记片，前半段太流水账了，也就是加了歌曲串烧让画面没那么难以下咽。人权运动和猫王这个有些败笔，但是插入剧情并没有预料的突兀。剧情比较好看是从猫王的68年comeback special，从这里猫王的星光全开，明星与经济人的恩怨和压榨星途的描写典型到现在依旧能见到，只是像猫王这种质量的明星难再有。这片我最后决定给四星是因为我看的这场我大多是上岁数的老人，有些还会跟着歌一起唱，最后猫王之死时，我和旁边座位的老太太一起啜泣，还是蛮带感的。
1,宋夕,102004738,2022-07-03 05:23:21,,100,30,太满了，实在太满了，找不到“聒噪”之外第二个词来形容第一感受。从第一分钟，到最后一秒，都像一场永不停止的辉煌大秀一样吵闹。至于人物塑造，简直PPT，电影看完我对猫王的印象还是模糊。演猫王的演员，有形无神，毫无吸引力，全场我都在“他怎么这么油”、“可能美国人就喜欢这款”两个想法中反复横跳，直到片尾猫王本人出来了，脑子里立刻只有一个想法“好帅！”这要是能拿小金人，奥斯卡现在也太不讲究了。
1,一一,63163621,2022-06-09 13:28:38,,41,,灾难而波折的猫王传记片，导演鲁曼近十年未拍摄电影，明显在遇到疫情重创时没有足够应对能力，开拍约1个月因全球疫情蔓延而中断拍摄，随后停拍7个月，疫情下制片注定命运多舛制片计划大改、剧组演员感染、退出、档期冲突、更换、无法前往澳洲拍摄地等问题不断，迟迟未能追赶制片进度，而与鲁曼合作过盖茨比的制片方华纳而异常灾难，要优先“照顾”其高成本项目及母公司att的负债、高层内斗、再度解体或被迫出售等问题和麻烦，猫王传记等一类中成本项目明显无得到重视，草草完工。最终疫情停机的一年后才艰难杀青推进到后期制作，进度严重拖后也导致大幅度延期9个月上映。华纳自14年立项后就无下文，因福斯皇后乐队传记片火爆而跟风开拍，最终成片因疫情而面目全非，对于鲁曼团队而言，经历一番波折，算“尽力而为”，非常可惜。
1,病态天使,MrFuckoff,2022-06-09 16:51:45,,22,10,男主角一副装逼脸恶心到我了，加入黑名单
1,苦禄,eonsheng,2022-06-30 00:52:36,,35,30,改名叫猫王及其经纪人的爱恨情仇算了，请Tom Hanks这样咖位的演员演配角很难不喧宾夺主。故事本身缺乏高潮部分，反而采用视听来多次强行制造伪高潮，导致人物故事都缺乏弧光，波西米亚狂想曲是很难再复刻的。两个半小时听歌看画面又稍显冗长，定位非常尴尬。年轻的猫王每次出场都如同男模街拍/走秀，歌还是很好听的
1,你好忧愁,88643356,2022-06-26 09:23:20,,47,40,秉承了导演一贯浮夸至死风格，但在猫王这个浮夸至死的角色上还很贴切。除了承认了猫王对黑人音乐的挪用，最好的是并没有刻意拔高立意，猫王并没有什么伟大的思想或者参与重要的运动，他只是个被剥削了一生的表演者。
