seen,username,id,time,location,votes,star,comment
1,C.Y,34493205,2022-02-13 12:35:41,,77,30,同行衬托罢了，很多别的作品的影子。从片尾的花絮可以看出成片是阉割版，删了不知啥内容。本来就是卖情怀，达叔去世了就把达叔拿出来一起打感情牌……背影cos得不错，不知道《大话西游》还有多少肉没有被分割，这应该不会是最后一部《大话西游》……
1,chromee,46626911,2022-02-11 13:51:38,,275,40,齐天大圣只是一个名字，每个人都可以是齐天大圣。这版改编的大话西游是有内容，挖到了核心的东西。
1,海月梦香,154620886,2022-02-11 15:42:33,,158,40,没想到作为一部同人网大竟然能比刘镇伟亲自执导的《大话西游3》有趣这么多，值得肯定，给个四星吧。
1,zhang 2nd,zhanger,2022-02-11 15:40:46,,85,20,吴孟达达叔参演的大话西游网大，戏份还不少，片中有一段特别告别的闪回。男女主不惹人厌，尤其是女主，还是非常俏皮可爱的，男主相对弱一些，可惜剧本还是太同人太凑合了
1,今言,lengshan310,2022-02-14 23:02:59,,72,30,比大多数大话的IP拍的好多了，作为网大起码不尬。
1,摩诃曼珠沙华,cn_panda,2022-02-14 10:09:17,,57,30,冲着达叔看的，剧本故事倒没什么问题，不过大话西游本身结构就这样，衍生出来的剧集讲来将去也就那样了
1,no gain no pain,tvbinstinct,2022-02-13 10:06:56,,15,,女主的大红装的镜头都被减掉了
1,瞎看瞎看看吧,46618420,2022-02-11 10:48:15,,86,10,网络电影发展到尽头，白骨精爱上关羽或丧尸大战貂蝉都能忍，这样一味的毁坏经典作品，就是犯罪了，该去判刑。
1,今生、唯爱,72520254,2022-02-15 01:16:14,,25,20,拍的跟闹着玩似的，要不是因为达叔，谁看这个啊
1,fallingraining,52114041,2022-02-14 22:44:19,,20,30,到还可以
1,WIKI魏,wikimedia,2022-04-16 10:23:28,,4,30,女主是属于五官大的那种好看，男主像鼻头稍大的黄轩，两个主角都不讨厌，同行衬托，比大部分网大好。吴孟达的遗作，在这代人的脑海中，他从大话西游来，最终又归于大话西游，宛如宿命轮回。
1,pipboy,shmsn,2022-02-16 23:49:22,,12,30,缘起性空，缘汇则生，缘离则灭，诸行无常，随缘变化，执着是苦，放下是乐
1,深夜的阿斯伯格,35827809,2022-04-13 13:52:41,,0,30,女主还有点像陈慧琳
1,蝌蚪skchen,RobinChen0124,2022-02-23 01:11:57,,134,50,看到5.7我笑了，这质量不吊打2022前面那些上映的鬼电影，无流量无经费就靠一部9分的剧本还要怎么样？一部成本几百万的网大电影拿去和几亿的电影比道具比服饰比场景？白嫖党们口味都这么刁？呵呵。
1,考古小站,68932287,2022-02-13 01:08:59,,39,30,挺有诚意的。
1,电影怪客,vgk,2022-02-11 14:08:24,,209,40,还不错，比之前几个蹭IP的院线要好太多，而且最难得的是这版紫霞的演员意外的不令人讨厌！作为网大我给四颗星，挂着达叔的遗作为宣传点也算是合格的，没给达叔丢脸！
1,梅花野老,58055787,2022-02-17 17:18:51,,2,30,虽然挺烂的，但是纪念达叔。
1,居无间,juwujian,2022-02-16 22:55:24,,7,20,硬凑周星驰周边属于是，但《大话西游》的内核没get到。很多戏直接照搬，反派太强行了。
1,果心居士,asoloman,2022-02-13 21:52:17,,3,30,达叔最后一部电影，不管如何总是要看的。看下来倒觉得不难看啊，可能现在难看的电影太多了。应勤版至尊宝不算讨厌，演紫霞的也不是整容脸，挺好的。
1,风言风宇ZDY,240118459,2022-02-11 14:51:16,,134,50,作为一部网大，能够有这种质量，就已经在及格线之上了。这部电影改编的挺好，再加上演员的演出，五分是希望导演之后能创作出更加好的影片。缺点当然是有，但是瑕不掩瑜，如果把情感的过度拍的详细一些就会更好。
1,海边的曼彻斯特,202031282,2022-02-11 12:43:07,,24,10,达叔就几分钟
1,不知,swf1976,2022-02-11 13:56:04,,138,40,这版紫霞颜值蛮高的，而且也有那种俏皮劲，很灵气，就是古装感差点火候~
1,影君子,li-trust,2022-02-11 22:56:04,,22,10,看达叔还行...别的就算了...
1,土卫六,171246032,2022-09-10 22:24:19,内蒙古,0,30,大话西游前传，凑活看吧
1,ldjwei,106844164,2022-02-11 14:19:34,,117,40,被首页海报图吸引过来了，观影完毕感觉很值——故事叙事节奏舒服，主演的服化造型还原历史，特效做的也不错
1,流年↘亂浮華,61114782,2022-02-11 14:00:14,,119,40,有一说一，制作很用心，美术、服化和道具上的许多细节都照顾到了，赞~这次改编没让人失望！
1,燃烧的玫瑰,96535162,2022-02-11 14:26:43,,105,40,你永远可以相信大话西游，卢冠廷一生所爱的歌声响起，瞬间有鸡皮疙瘩了，全是满满的回忆。达叔告别之作，虽然很难受但这也是一重缘分，新版城楼戏份也有亮点，至尊宝紫霞挺暧昧的，作为独立的故事真可以的。
1,雨曦,83436757,2022-02-11 13:58:01,,93,40,好几个老版大话西游的演员，除了最亲切和蔼的达叔，还有九孔老师，真的是爷青回啊
1,深秋小屋dongdong,karylee,2022-02-12 10:50:37,,27,30,剧情非常简单，也规避了很多深层次的东西，中规中矩很寡淡，女主长挺美的，为了达叔的遗作，多给一颗星
1,寒狐传媒,Smeagol,2022-02-12 15:28:55,,24,40,观音大士是个哲学家。
1,zz,72319276,2022-02-12 23:07:17,,4,10,中间星河大战；七彩石那段我以为我进了KTV包间
1,宇航三号,211373605,2022-03-06 22:51:44,,1,40,那么难看，只不过没当年的演员
1,白無硯,edge77,2022-02-11 22:10:48,,17,40,还挺好，看哭了
1,日日是好日,Shan1003,2022-02-22 20:59:34,,5,30,节奏有点乱，但是剧本不错，用心了
1,阿懒,63673131,2022-08-08 21:44:15,,0,20,不知道在哪个公众号之类的地方看到说这部片好看，结果，并不好看，可能对于他来说有吴孟达所以加分了吧。就类似之前《大天蓬》差不多的水准，不至于很烂很烂，但真未到合格水平。如果真要比的话，《大天蓬》的剧情还好那么一丢丢。
