seen,username,id,time,location,votes,star,comment
1,十殿阎罗V,174923003,2022-08-19 13:47:18,,1998,10,1：没有女性角色不用硬编，不必做出雌性哮天犬这种角色。2：为什么从头到尾不用任何中国乐器？你觉得你配乐做的很好吗？你真觉得？3：追光是真的觉得3D页游风很好看吗？所有轻纱披帛都像淘宝十五三十米的塑料化纤布，所有分身都像是塑胶金粉偏光小人后面打灯。别做你那人物被打飞以后的慢镜头了，每个人都在翻白眼我真是不惜的说了，真的很丑。4：一定要拍胸像吗？一定要把镜头贴在角色脸上吗？一定要做这么难看的小场景和莫名其妙的打架吗？5：人物动机小儿科，剧情转折莫名其妙，塑造成长不如不做，要不然编剧把脑子里的水控干净再来写本子吧。6：追光应该给每一个来看的人倒贴70的电影票钱和租3D眼镜的钱，我坐在这就感觉被追光抽了俩小时嘴巴子花钱买罪受。7：你特么别做你那下一部了，滚！
1,成精的粽子,127457297,2022-08-19 12:16:51,,746,10,尬出天际，一星不能再多了！炫目的特效，乱糟糟的故事，只看到导演的急功近利，坚持看完是我给予国漫最大的尊重了，但是这种趋势下去，国产动漫不知道又要走多少弯路！
1,核仁烤排骨,174086186,2022-08-19 15:04:49,江苏,14118,30,不懂为什么要把啸天犬性转，看一个小女孩在地上爬来爬去还舔杨戬一个成年男子这种设定除了让人感觉不适外还有什么别的作用吗？
1,皮格马利翁,173582606,2022-08-19 12:39:07,,11542,30,沉香：《二舅治好了我的精神内耗》
1,你男神是我男友,159087326,2022-08-19 20:55:41,江苏,614,10,哮天犬幻化成女性没什么问题，但为什么要让小姑娘四脚朝地爬，做狗的动作，还在杨戬身边蹭来舔去
1,叮叮ding,45713500,2022-08-19 12:09:59,,5986,30,剧情那叫一个乱啊！杨戬作为主人公没有任何核心诉求，而且被改成了一个绝对的英雄、好人，对妹妹对外甥那那都是深情款款。请问这种人设，那还是杨戬吗？？？现在的剧本连二郎神这种程度的“坏”都不敢写，连一点维护秩序与个人情感之间的挣扎都不敢放在主角身上，只有绝对的反派和他绝对的私欲。但凡涉及到一点矛盾，就是什么拯救苍生和私欲贪念，跟现在动不动爱上个三千年的仙侠剧有什么区别？？华丽而空洞，实在太特么无！聊！了！
1,heartzert,heartzert,2022-08-19 22:11:47,浙江,15149,40,编剧给美术们跪下磕头吧
1,VeniVidi,169887088,2022-08-19 23:28:08,,5870,40,编剧得给美术组场景组音乐组磕仨响头的程度···
1,sky停云,150884988,2022-08-19 19:22:11,安徽,4775,40,老实说，这分很难打，三星对不起特效，四星对不起剧情，为了鼓励就四星吧✔前中期有点沉闷，后期还可以，去人间之后很顺畅一气呵成。BGM很有想象力，一会儿爵士，一会儿古风，一会儿摇滚，就是对我来说太杂糅了😢 画面也是充满想象力，挺喜欢的，太多一掠而过的东西，希望未来有更多展现。关于剧情，国内是真的缺好编剧😓
1,Torrilla,52071601,2022-08-19 22:54:20,湖北,3651,30,3.5/5 从哪吒到姜子牙再到这次的杨戬 我觉得我看了一个申公豹的多重宇宙
1,尼加拉瓜尔佳氏,181544253,2022-08-19 16:28:16,江苏,2908,30,看见魔家四兄弟被削弱成这样，一个每年都要进大雄宝殿给四大天王咣咣嗑十二个响头的超级迷妹大哭着走出了电影院。还不如看他们四个凑桌麻将。
1,Not Here,180938800,2022-08-19 12:13:49,,1228,50,总是有一些电影，在电影院中能把你的情绪调动到极致。
1,Alain,spiky1920,2022-08-19 12:26:48,,2465,,东一榔头西一锤子给看迷糊了，斧头到底是用来劈山还是镇山的啊？玄鸟起飞到底是会天下大乱还是会庇佑苍生啊？还有这些角色和哪吒里的角色放一起真的能分清楚谁是谁吗？
1,豆瓣路人己,june.q,2022-08-19 12:21:47,,1984,30,剧本有很多问题，技术很牛逼，已经快成为追光一直的风格了。但这部片子算是追光第一梯队，能看得出因为sc，而删掉了很多的人物动机。不能言封神，不可说斗争，为整个故事失去了主要的支撑点。故事本身还挺接近原著的表达，神之间的斗争，为了拿到封神的额度，凡间的一切都可以牺牲。
1,雨尘是AI,bestyuchenking,2022-08-19 12:12:08,,3676,40,越看追光的新神榜越觉得可惜，可惜之处在于追光的稳定。技术层面一直保持着国产动画的一流水准，画风、音乐都再次带来了巨大的惊喜。然而剧情也一如既往地延续了RPG游戏的质感，逻辑bug已经是硬伤而非瑕疵了。如果不能解决编剧层面的大问题，那么诸多彩蛋联动铺垫下的新神榜大集结恐怕是追光动画毁灭性的灾难。四颗星鼓励鼓励，拜托找个好编剧吧！
1,𓆝𓆟𓆜𓆞𓆡,173933794,2022-08-25 23:36:01,美国,270,10,国内观众对电影的宽容度已经到了“画面不错”就四星➕的程度了。怪不得大家争相抄袭做烂片呢，观众都是垃圾桶，何苦浪费时间做不是垃圾的东西。
1,赵白,181510623,2022-08-20 18:50:49,辽宁,706,50,这不比日漫好看？这不比漫威宇宙好看？
1,HEY,Curlylin,2022-08-20 21:46:48,重庆,1826,30,婉姥姥的实例告诉我们：不婚不育保平安，不用化成人间烟火，也不用化成人间之气，唱歌跳舞独美。（PS剧情乱七八糟我都懒得吐槽）
1,王斯宇,147725037,2022-08-22 00:32:22,广西,3192,40,沉香：二舅，我想劈开华山拯救我的母亲杨戬：支持!劈山完毕。沉香：我妈没了杨戬：看见了吧，你姥姥就是这么没的
1,小妖豆豆,247334888,2022-08-27 20:52:34,山东,603,50,就不明白了，随便一部迪士尼破烂的千篇一律的商业片就能八九分，这部剧光看画面、打斗还有成体系的中国元素也可以冲八了！有色眼镜真可怕，对待国产的只有挑剔，对待国外的就顶礼膜拜，何必那么卑微呢？这部电影有缺点，故事性没那么完整，玄鸟到底是好是坏我没看懂，巫山神女有点乱入的感觉，沉香差点喧宾夺主，年代有点乱……缺点很多，但是，故事是个复杂的故事，叙述起来本就难，从头到尾讲明白了，就不烂，而且相比较传说，反而更合逻辑，也更新奇！再说说优点，画面很精致了好不好，松鼠那里，也太逼真了，科幻风和玄幻风结合的也不错，太极图里的二维也挺有感觉，人物关系也好。最后，给国产动画提个意见，就是把主线走好，乱七八糟的支线不要太多，无关痛痒的穿插也大可不必，把故事讲明白了，立意搞好了，就完美！期待……
1,Bambbi,Bambbi,2022-08-19 12:12:36,,1623,30,作为国漫来说特效画风都已经足够靠近皮克斯，想要追求炫酷国漫的你不会失望。但过度追求“皮”反而丧失了最重要的“骨”-故事和“魂”-人物塑造，杨戬个人的行为逻辑不清不楚，就像个提线木偶被导演吊着走，故事剧情也十分小儿科。
1,Piiiiiiikman,thefear,2022-08-19 23:48:56,贵州,683,,睡得好沉好香😊 我就是沉香
1,flylikehell,134948196,2022-08-19 12:22:48,,2667,40,燃，还有杨戬也太像xx凡了……
1,冰美式momo,180058138,2022-08-20 15:34:35,广东,664,30,用高脚杯喝白开水
