seen,username,id,time,location,votes,star,comment
1,['豆丁'],['douding1024'],['2022-10-05 13:33:26'],['美国'],['43'],['10'],"['Hate it. Hate it. Hate it. The main character is the embodiment of everything I hate about US. His narcissistic ego is overflowing, no acting, no character building, it’s all about his ‘message’ and monologue. It’s not a movie, it’s his puppet show. ']"
1,['亵渎电影'],['zhangzongqian'],['2022-10-19 02:20:39'],['河北'],['154'],['30'],['可惜男主和男二之间没有来电，他们只是在演一个爱情喜剧。是因为打算拍给异性恋看，所以两个男人就不可以来电吗？这片子可以叫“同志刻板印象集锦”，聒噪刻薄的男主觉得自己是同性恋模范，教育其他愚蠢的同性恋如何做一个好同性恋，学习同性恋历史。']
1,['JC'],['lachris'],['2022-09-30 08:02:28'],['美国'],['66'],['30'],['是我期待值太高吗，为什么觉得Billy演技很糟糕，两人没有化学反应，剪辑也很生硬']
1,['SundanceKid🌈'],['rudygiraffe'],['2022-10-18 21:33:23'],['浙江'],['25'],['30'],"[""虽然没有很好的火花，但Luke实在是优秀的花瓶。Billy Eichner本着冒犯、本着不屑的真心话，是能会心一笑的。要照顾结尾的“三月金婚”，所以Debra Messing, it'll have to wait""]"
1,['同志亦凡人中文站'],['3540441'],['2022-09-23 19:21:06'],['新西兰'],['146'],['40'],['同志喜剧很少能做到既好笑又走心还性感的，“哥们儿”算是意外之喜。更惊喜的是它从头到尾都在冒犯异性恋，我几乎能看到高贵顺直男垮下个批脸的表情！比利·艾希纳主导的剧本充满私人倾诉欲，LGBTQ段子的密集程度我只在“威尔与格蕾丝”里见到过。以“基佬是世界上最蠢的生物”作为底层逻辑，从不相信爱到鼓起勇气试爱，需要克服的永远是自己。当然怼完自己后就可以怼天怼地啦~']
1,['朝阳区妻夫木聪'],['Invisible___'],['2022-10-21 20:59:28'],['北京'],['82'],['40'],['OMG我真的笑到头掉，差不多是我看过的最刻板的同志片吧，但是所有的标签又精准地击中你，以至于边看边高呼ya给子们就是这么抓马又蠢好吗！比如多人运动的时候总有一个试图融入但被冷落的人，比如装man失败母气外露被现场抓包让人瞬间萎掉，比如一个群里的给子们聚在一起一定会聊各种女明星且non-stop（救命最后这点我真的也很想知道why实在太烦了哈哈哈），甚至毫不伪饰展现电话本子们date三个月be like“金婚”的状态，等等吧。反正超级好笑超级冒犯但是又超级不judgemental，因为它是如此热烈又直球又小心翼翼但又fuck off everything。谁不曾在感情中敏感脆弱又自我怀疑，怼天怼地搞砸一切但又假装不在意，但不管你是什么样，总是有人值得你去放下戒备心哪怕只有一瞬，虽然cliche但真的很难不被触动到。看到最后大家舞成一团，天呐他们真的好快乐哦。']
1,['THE OBSERVER'],['steroids'],['2022-10-24 00:52:13'],['上海'],['16'],['30'],['你们自己说男主烦不烦']
1,['谋谋谋'],['starren'],['2022-09-28 10:24:32'],['美国'],['96'],['40'],['肌肉崇拜、多边关系、多人运动、贱兮兮的说话腔调、女同就是Dyke、基佬直男癌、当下流行的kinks、俩白肌肉主角一个多毛(RFC)一个光滑(Sean Cody)但是俩都是大乳头……把同志圈里所有的刻板印象都一股脑地堆砌起来，用小鸡电影方式拍了个浪漫喜剧…不得不说还蛮好看的，各种pop culture的reference也是好笑到飞。关键是，iMAX屏上看肌肉同志电影，观感有点像在iMAX影院里看Sean Cody或者Treasure Island，体验完美，故事就算了吧。']
1,['邵艺辉'],['aada'],['2022-10-31 12:38:13'],['北京'],['8'],['30'],['我宁可做一个悲惨的人，也不愿意做俗套的人。']
1,['办公室甜心'],['kirk1226'],['2022-10-25 06:36:35'],['德国'],['16'],['30'],['不是gay不gay的问题哈 而是每个人都在making everything all about themselves']
1,['饮歌'],['35790692'],['2022-09-18 12:07:35'],['加拿大'],['66'],['40'],['这部电影的主线其实就是一个几乎已经被好莱坞遗弃的典型Rom-Com王子公主的童话，只不过这次的两个主人公成了王子跟王子；虽然有点老套，但是这个属于LGBTQ+的童话在大银幕上来的实在太晚了！不过好在迟到不代表缺席！虽然相似主题的影视作品已经很多，但这般大规模上映，并让人看得有泪有笑，的确值得褒奖。更不用提导演和编剧绞尽脑汁的把那些大家熟悉和不熟悉的LGBTQ+历史信息和流行文化大量塞进每一句话和每一个梗，并且做到处处有金句、句句够幽默，真的是太难得了。']
1,['路人甲先生'],['68947670'],['2022-10-27 16:01:33'],['广西'],['16'],['30'],['虽然但是，的确没有直人想走进影院看着一个中年同志喋喋不休的讽刺这抱怨那，后半段又处理的很俗套温和反而磨平了棱角，唱歌闪回片段那里直接两眼一黑，这个爱情故事有什么浪漫感人的。']
1,['顗礼'],['149152146'],['2022-09-30 07:46:38'],['加拿大'],['52'],['40'],['都快忘了上次看这种老套的糖水童话片是什么时候的事情了，但就真的，好喜欢啊，永远会被打直球的热烈爱情所感动。所有那些具有冒犯性的段子、那些为平权而进行的呐喊，以及最后的那句“我们站在这里便已经足够幸运。”都好浪漫，是啊，能遇见彼此就足够幸运了']
1,['Ryan'],['ftjason'],['2022-09-30 10:09:10'],[''],['41'],['40'],['知道cheesy但没想到这么cheesy 确实挺好笑的但也过于碎了 仿佛几年来的snl gay段子塞到了一起 抛开演技+最后为啥道歉+结尾的处理实在气不过要扣分之外 还是要好好支持大银幕通讯录小基片 毕竟连古巴支持合法了 can you？']
