seen,username,id,time,location,votes,star,comment
1,冰拿铁,ellie0314,2022-08-25 01:58:45,韩国,294,40,意外地好看，虽然情节扯淡但是扯淡得很流畅，而且真的太好笑了，结尾感人！果不其然南韩的电影里北韩必有一个猥琐的大坏蛋！（现在双门洞有两个中过彩票一等奖的人了！）
1,陈今,63976961,2022-10-21 01:04:40,四川,195,40,女团舞那一段笑死
1,恃南林以司,133824715,2022-10-22 10:02:49,甘肃,253,50,很久没看过这么真诚又好笑的南北题材电影了，无声命运的反复作弄下，大家携手换边踢球的场景真的好喜欢
1,Eddie,52311655,2022-10-26 23:24:40,重庆,294,30,看来统一南北韩的使命还是得交给女团啊
1,西决,c541223724,2022-10-24 18:39:11,山西,126,40,北朝鲜掏出了投影仪当场展示PPT笑死，结局弱了，不过也蛮开心，3.5.
1,牛奶很忙,boringq,2022-10-23 23:38:01,山东,128,40,一句话说明白的高概念+立体丰富的演员+简单明了的低级烂梗+轻松顺滑的感动=开心麻花PRO MAX。我们家善宇，圆润以后真的很会演傻子。
1,令希丰,48747709,2022-10-26 00:11:54,广西,219,50,当他再次说起德语的时候。
1,Puff,Puff880819,2022-09-28 22:40:01,中国台湾,58,40,喜劇版《共同警戒區》，因為一張樂透而惹出的一連串大小事，很瞎扯但是真的無敵搞笑，韓國久違純賣搞笑的類型片，套用在軍事題材上仍然行的通，當然結尾不忘以南北韓共同情誼的方式收尾，情節設計說不上高級，但是足夠搞笑足夠好玩，采昌上次買到這麼爆笑的韓式喜劇已經是《特務搞飛機》了，2年後又買到一部韓國市場黑馬作，高庚杓真的圓了不少，但是眼神依舊像20幾歲的嫩弟，郭東延竟然也有參演，真的驚喜滿滿，被設定為變態軍人搞笑到爆炸。本週確實滿多可看性極高的片子，如果要選搞笑類的話這部絕對是首選。
1,lijaenkk,bloomkk1609,2022-10-22 23:23:17,四川,72,40,🇰🇷真有100种诠释南北关系的方法🫡7分左右，看在rollin跳得很好的份上4星了🌝
1,女神的秋裤,movieater,2022-10-21 00:41:00,山东,50,40,略俗套，结尾有点荒诞，但整体很轻松搞笑，也很有爱。看得人心情愉悦。
1,宓,1933692,2022-10-15 22:20:29,吉林,105,50,《极限职业》之后好久没看过这么好笑的喜剧了，非常认真且卓有成效的搞笑，值得五星称赞！！《swing kids》里跳资本主义摇摆舞的志愿军小胖哥在这儿又变身人民军跳女团舞了，哈哈哈哈哈。
1,Carmen,53477720,2022-10-23 21:11:57,四川,162,30,三星半。很久没看到这种让人自然发笑的喜剧片了，结尾主题的升华也没有让人觉得矫情，毕竟如今这个世界，和平是大多数普通人的愿望。
1,幽灵不会哭,guo_xu,2022-10-26 21:45:53,四川,50,40,3.5越到最后就约儿戏，但正是这种没心没肺地剧情才能支撑起它的主题，本是同根生相煎何太急，作为人类，我们都爱钱，我们都需要钱去实现让生活变得更好的理想，作为同胞，我们说着相同的语言，喜欢相同的美食，我们也同样拥有这森严的等级文化，南北也是在一个相对公平的视角中被刻画的，有趣的是电影中唯一的女主角来自北边，颇有对当下韩国女性权利的反讽，电影中另外一个主要元素是动物，它们实际上是对人的暗指，奶牛如何能产好奶，鸡鸭如何能多生蛋，野猪如何护崽，在任何一片土地上，我们的生命的延续和爱的信仰都是一样的，这样最后的高昂的统一的主旋律才真正地能立住脚，消弭不同看到相同，童话本身能说到这里就可以结束了
1,苏乏,maybeland,2022-10-25 18:12:04,北京,32,,真好，全片自然流露的傻鼻气息，让人快乐
1,倚风帘,39279260,2022-10-21 00:14:45,江苏,34,40,听到《我们见面吧》，这不是《新西游记》，而是南北的双向奔赴。这样的一个喜剧故事，让所有的荒诞都成为可能，所有的夸张都作为下一幕戏的引子，设计太精妙了。不仅有养鸡场，还有SNS的定位，将古典与现代的无缝融合。突然还看到了一点《爱的迫降》的影子，真漂亮！
1,eva,41236968,2022-10-27 01:09:37,河北,34,40,电影在30分钟前，我以为我笑不出来了，30分钟后，我以为我笑的停不下来了，结果，最后30分钟，搞得我多少有点哭笑不得。怎么说呢，这部电影你能看到它非常理想化的一面，也能看到它很无奈的一面，电影的故事只有可能发生在过去，未来就不太可能发生了。
1,拔剑四顾心茫然,45008619,2022-10-26 18:00:08,河北,16,40,彩票大作战，全程哈哈哈哈哈，不管多么严肃的故事背景，一旦沾上大作战几个字，立刻就能联想到几方人马通力合作或者互相拆台，其实就是夺宝片的变体，在一个严肃语调中用一个逆转人生的机会让人物突破底线，各种笑料也因此而来。彩票的地域性限制，是本片成立的一大原因，如果换成宝藏则失去效力，走入传统夺宝片你争我夺的死胡同。在笑点构成方面，几场打球和跳舞的戏明显是《共同警备区》的延续，通过偶像团体拉近南北距离已经不是第一次了，上次是《铁雨》。前面节奏特别好，南北双方广播员的喊话battle都让人信以为真，直到老母鸡听歌下蛋开始，就已经往魔幻喜剧的道路上跑了，变态士兵不赶紧去兑奖反而四处探店打卡美食，包括最后野猪打劫彻底起飞。不过说到底，剧作姿态就和剧中人物一样，都带有某种落荒而逃的逃避倾向，暗指南北统一堪比中彩票。
1,pipboy,shmsn,2022-10-23 20:00:43,上海,36,40,Brave Girls《Rollin'》
1,einverne,einverne,2022-10-26 23:04:34,韩国,7,40,用英语字幕看韩国电影，顺便学单词candid，솔긱한很久没有看过这么搞笑的喜剧片了，这是一部讲述因为一张57亿韩元乐透彩票飘到了北朝鲜，韩朝两方合作分钱的故事，暗戳戳映射了JAS（共同警备区），韩国一边学朝鲜语语气，朝鲜一边学韩语缩写，跳女团舞。
1,夏天的野兽,91992710,2022-10-25 00:22:51,四川,48,50,当所有人都希望统一的时候，自然就统一了。韩国人这种题材都能拍成喜剧，看来母猪的产后护理是韩国人写的哈哈哈哈
1,路过小卢,luguoxiaolu,2022-10-26 23:04:53,广东,5,40,魔幻喜剧版《共同警备区》。南韩总能将三八线的那些事儿以不同的类型形式推陈出新，到这部更是放大了荒诞魔幻的一面。点子非常好，从一张价值57亿的彩票作为切入点，连结为了共同利益的两方士兵，并以此延伸展开各种故事情节。前半段的双线叙事节奏与戏剧张力都做得非常好，直到两方如“变形记”一般交换人质，都充分利用并放大了南北韩的文化差异，且能做到出人意料，设计了不少新鲜笑料。后半段兑彩开始就稍显混乱了，导演的节奏把控问题与编剧的黔驴技穷就逐渐暴露。虽然“提出问题、解决问题”如此循环递进的结构很系统，但情节与风格之间显得割裂，比重失衡，且趋向平庸，有些对话是强行插入只为表达不必要的立意，便显得画蛇添足。而最后的结局显然是编剧没有更好的处理方法，所以极为潦草。但整体依然值得一看，反正我笑得很快乐～！
