seen,username,id,time,location,votes,star,comment
1,深水埗鄭九妹,189016622,2022-09-08 16:32:48,中国香港,109,40,评价：比1好看
1,vv,85376168,2022-09-08 19:16:21,韩国,131,50,搞笑台词不少 玄彬耍帅还是有能力的
1,淺蒼,49387290,2022-11-05 16:30:59,天津,140,30,全片最幽默的其实是监控车里的女人，她在玄彬的照片下贴了“在北边算平平无奇的脸”这样的字条
1,牛奶很忙,boringq,2022-11-04 23:13:30,山东,108,30,原来韩国人被问到how are you，标准回答也是fine thank you and you！
1,Imogen,2495589,2022-11-02 00:52:05,陕西,34,20,认真的么？反正我快进了。
1,e|理智型神经病,ee1101,2022-09-12 23:43:47,韩国,79,30,台词动作场面剪辑摄影都是今年韩国商业片里最好的，可惜女角色写的还是很直男癌
1,桃桃林林,qijiuzhiyue,2022-09-15 19:38:51,马来西亚,59,30,相比上一部全面升级，从韩朝共助变成韩朝美三方共助。风格上还是上一部那种动作喜剧，娱乐性还是不错的。
1,Puff,Puff880819,2022-09-10 19:58:01,中国台湾,42,30,3.75/5跟犯罪都市2一樣看完有種不如首集的感覺，但是本片的不如首集並不是故事、格局不如首集，這兩個點它反而都超越了首集，唯獨進入第三幕有些不連戲的剪輯，讓我產生了此想法。除了剪輯稍微不連戲，以及第三幕槍戰有些視覺疲乏外，這是一部比首集更爆笑、娛樂性質更高昂的高顏值警匪動作大片，玄彬、柳海真相隔5年再拍續集，延續「同盟」的精神加入了丹尼爾海尼代表的美國，動作場面也延續了港片火爆、拳拳到肉的風格。顏值加倍，允兒的花癡與戲份也加倍，首集基本上是特別演出的允兒此次戲份有顯著的提升，只要有允兒的花癡戲完全就笑的合不攏嘴，而這次玄彬還跟花癡允兒訂終身了，恭喜允兒追愛成功🤣。《愛的迫降》番外篇續集持續深鑿玄彬飾演北韓人的魅力，韓國觀影人數看好破千萬，如果要拍第三集，台灣方可以找張震嗎XDD。
1,冷漠.jpg233,140599470,2022-09-09 23:57:58,中国香港,93,40,挺标准的商业片，剧情有点硬，但好笑是真的，适合周五晚！玄彬好帅啊，我也想他拉下车窗送给我雅诗兰黛的口红
1,冬天,winterjane,2022-10-03 11:43:45,美国,47,40,原本只是想看中队长，没想到剧情竟然还不错😳是爆米花片，但比《犯罪都市》这系列的爆米花片强5倍！中队长太帅啦😍😍😍 FBI穿着防弹衣都被打死打伤了，中队长全程西装但却刀枪不入！😎有韩国人跟我说，十几二十年前，朝鲜人都是柳海真这类型长相的演员来演。现在时代不同了，朝鲜人只有郑雨盛玄彬这种脸才能演了😆😆😆
