seen,username,id,time,location,votes,star,comment
1,全声波频道D,colorfulake,2022-10-24 02:53:52,捷克,446,40,想润又润不去的人肯定会很爱这片子
1,脆皮仙人球,gismine,2022-09-14 10:23:53,美国,273,40,好纯粹的疯批电影😅 影院发了女主的人头大扇，看完后想了想还是没带走😅 (以及看完了很想吃玉米是怎么回事
1,Superbia,152072392,2022-09-28 08:43:24,美国,198,40,和《X》一起为迷娅高斯量身定做的片子（米娅本人也是编剧之一），大量长镜头情绪宣泄，虽然完全没有很多人说的那么恐怖，但确实将一种病态解构做的淋漓尽致。PS哪有这么hot的放映员啊喂
1,Ciciaego,missmici,2022-09-16 14:01:05,加拿大,354,30,珍珠姐见人杀人见鬼杀鬼，上头后谁说都不好使。这部和X相比起来比较像文艺惊悚片，Mia Goth十分钟的独白足见演技，如果能多挖掘一下她杀欲的来源就好了。
1,gia,gianostalgia,2022-09-20 11:34:47,美国,388,50,既call me by your name 之后最强的怼脸无台词长镜头! 又名«妈妈再爱我一次之舞出我人生»
1,同志亦凡人中文站,3540441,2022-10-25 09:14:01,新西兰,173,30,剧情不吓人，但疯姑娘你吓到我了。美式隔离都能把人逼疯？我不信...
1,梵顿Kirin,140116141,2022-10-21 16:42:33,四川,189,40,A24你看着办吧，Mia这表演不去拿个奖你觉得说得过去吗？长达近6分钟的长镜头独白（其实加起来有10分钟吧）以及最后看到Howard回来的“The End”那段表情的情绪推进太到位了，好棒。所以没被选上那些人简直眼瞎（现实/电影都是）。
1,D,49949655,2022-10-05 09:06:16,美国,126,30,迪士尼公主/绿野仙踪/希区柯克  x系列这个按城市背景设定的玩转类型片拍法 结合不同时代的美术真的绝妙 哥特妹妹太牛逼了 是会在几十年后某些独立荧幕被追捧的邪典三部曲
1,滴溜滴溜转,68851724,2022-09-17 10:17:49,美国,67,20,纯粹是女主米娅高斯秀演技的x外传电影，故事简单直白，没什么爽点。看到米娅高斯也是编剧，就明白了。
1,栗鼠,136416310,2022-10-23 22:08:19,广东,242,50,女主太他吗强悍了........片尾超长独白和最后3分钟撑着笑的特写，omg！近三年看过不少恐影佳作，Pearl是唯一我觉得未来多年之后依然能活跃在恐影榜的黑马杀人魔。草！我觉得最渗人的是Mitzy视角，并且每次她快要发飙之前我就感觉自己像小动物预知到危险，赶紧去把房间灯调亮orz，屏住呼吸，全神贯注感受她的变化。还有我太喜欢这种面孔了！（比如说Shelley Duvall和Sissy Spacek...）哎，这就是战争和瘟疫及衍生的次生灾害之下普通人的生活现状，每个人都在经历失去和变故，唯一不变的是历史永远会循环往复，而该改变的是，个人与阶层与环境之间无法相容、越来越深的隔阂。无创造，无改变，无人性，无信任，便无爱。
1,嵇澹,Eucatastrophe77,2022-10-22 17:21:47,浙江,94,30,绕了一大圈告诉观众Howard对Pearl是真爱，但那到底是爱还是迫于恐怖的臣服呢？不是X镜像前史，而是以Pearl之名给Mia再度定制大放异彩的银幕形象，尤其是片尾一反血浆砍杀片高潮节奏令人屏息的长段独白更是字面意义双关的slay。然而相比前作，一切都一眼到头，没有新的刺激。承接色情影史命题和胶片时代的技术美学致敬镶嵌在血腥即景的田园风情画上，童话般绚烂色彩铺陈的天真口吻和回应当下的战争和疫病肆虐绝望年代剖开与世无争的核心家庭隔离生活底下压抑和奴役的潜流——如同光鲜浓艳的丰腴乳猪爬满虫豸，无论母女间的隐秘战争还是管控下集体焦灼的病态蔓延，高压何曾中止？放映随着一派祥和的礼赞乐章收束仿佛宗教图式圣母垂泪的扭曲笑容，那传统叙事里夸赞的乡下姑娘守贞等待丈夫还乡标准道德画卷，其实是地狱之门的洞开。
