seen,username,id,time,location,votes,star,comment
1,呵呵,moliao,2022-10-28 23:15:38,广东,2352,50,政治权谋者为一己私欲发动战争，送愚昧天真的爱国者上前线当炮灰。
1,似景流年,antx,2022-10-29 23:19:11,新疆,2867,40,凡是把战争当做英雄主义进行大肆宣扬的，凡是不分青红皂白把人送上战场的，凡是鼓吹战争精神的人，都应该下地狱。
1,SITIS,141433337,2022-10-29 19:55:40,澳大利亚,1177,50,给狗扔一块肉，肯定会被叼走给人一点权力的话，他会变得野蛮
1,徐小猴,58878500,2022-10-29 21:10:34,北京,1595,40,败兴，仿佛这片子下面不淬一口《战狼》就显不出自己深度了，怎么你们观影的也有优越感吗？还圈地自萌上了？怎么这片子冥冥之中属于你们了？你们是撒尿留记号了吗？
1,irismile,irismile,2022-10-30 21:14:23,上海,1290,40,年轻人都来看看，那些老家伙们编出来的谎言，千万不要上当啊！！！
1,云当归,126880635,2022-09-17 09:56:45,加拿大,918,50,Movie of the Year. “坦克在一战中的索姆河战役中被首次使用”，这是多么平淡无奇的描述。但当电影中坦克压向了战壕，年轻的生命转眼消逝，我坐立难安，我闭上眼睛，捂住耳朵，可惜影厅的视音效果超凡绝伦，我不能假装这一切不曾发生。残酷，冰冷，绝望，战争从未改变它的面目，但我们的历史中总有前赴后继的人心甘情愿地为它摇旗呐喊，甘愿做它的信徒。只是不知道，他们最终会在酒桌上操纵他人的生命如棋子，还是出乎意料却并不意外地死在回家的前夜？
1,麦满分,121352119,2022-10-17 07:02:43,英国,894,50,这一版把战争的虚无描绘到了极致，可以说只有两类场景：士兵们像机器中的齿轮一样呆滞地端着刺刀冲锋然后被割麦子一样撂倒，或者枪炮声暂停时士兵们恢复人类情感有说有笑去老乡家偷鹅。朋友情谊和军国主义狂热一笔带过，高层的奢靡和狂妄也只是作为反衬战争的蒙太奇登场，整个电影的唯一主线就是战争本身，反倒比我们的父辈多了几分“德国味儿”——更加克制、更不滥情，只要描写战争本身就可以唤起对战争的厌恶了。整个观影过程中没有泪点，也没有（过度）血肉横飞的大场面，只是一直吊着一口气咽不下去，这种拍法在我看来绝对是一流，看多了把爱情亲情友情、战前多美好战后多惨淡这类桥段像工业香精一样生产并添加的好莱坞战争片，还是来点纯粹的生理性厌恶吧。
1,Gooner🌈,48513936,2022-09-17 10:52:30,美国,1212,40,#TIFF2022 配乐特别震撼 尤其影院效果 青春懵懂的少年刚刚毕业就被国家主义洗脑 送上了犹如绞肉机一般残酷的前线 无谓的牺牲持续到了战争的最后一刻 一战已经过去一百多年了 然而战争狂人们还在不停地把无辜的青年送上前线 这样的电影依旧意义非凡👏
1,AnEnormousFish,115481915,2022-09-13 07:25:50,加拿大,827,50,多伦多电影节首映看完 结束以后陷入巨大的虚无
1,电影Mark,moviemark,2022-10-28 19:34:34,四川,904,40,你们看，他们好像一枚没有生命的棋子。
